Nazwa dewelopera,Forma prawna dewelopera,Numer KRS,Nr wpisu do CEIDG,NIP,Nr REGON,Nr telefonu,Adres poczty elektronicznej,Adres strony internetowej dewelopera,Województwo adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Powiat adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Gmina adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Miejscowość adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Ulica adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Nr nieruchomości adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Nr lokalu adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Kod pocztowy adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,"Województwo adresu lokalu, w którym prowadzona jest sprzedaż","Powiat adresu lokalu, w którym prowadzona jest sprzedaż","Gmina adresu lokalu, w którym prowadzona jest sprzedaż","Miejscowość adresu lokalu, w którym prowadzona jest sprzedaż","Ulica adresu lokalu, w którym prowadzona jest sprzedaż","Nr nieruchomości adresu lokalu, w którym prowadzona jest sprzedaż","Nr lokalu adresu lokalu, w którym prowadzona jest sprzedaż","Kod pocztowy adresu lokalu, w którym prowadzona jest sprzedaż","Dodatkowe lokalizacje, w których prowadzona jest sprzedaż",Sposób kontaktu nabywcy z deweloperem,Województwo lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Powiat lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Gmina lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Miejscowość lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Ulica lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Nr nieruchomości lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Kod pocztowy lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,"Rodzaj nieruchomości: lokal mieszkalny, dom jednorodzinny",Nr lokalu lub domu jednorodzinnego nadany przez dewelopera,Cena m 2 powierzchni użytkowej lokalu mieszkalnego / domu jednorodzinnego [zł],Cena lokalu mieszkalnego lub domu jednorodzinnego będących przedmiotem umowy stanowiąca iloczyn ceny m2 oraz powierzchni [zł],"Cena lokalu mieszkalnego lub domu jednorodzinnego uwzględniająca cenę lokalu stanowiącą iloczyn powierzchni oraz metrażu i innych składowych ceny, o których mowa w art. 19a ust. 1 pkt 1), 2) lub 3) [zł]",Rodzaj części nieruchomości będących przedmiotem umowy,Oznaczenie części nieruchomości nadane przez dewelopera,"Cena części nieruchomości, będących przedmiotem umowy [zł]","Rodzaj pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali","Oznaczenie pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali","Wyszczególnienie cen pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali [zł]",Wyszczególnienie praw niezbędnych do korzystania z lokalu mieszkalnego lub domu jednorodzinnego,Wartość praw niezbędnych do korzystania z lokalu mieszkalnego lub domu jednorodzinnego [zł],"Wyszczególnienie rodzajów innych świadczeń pieniężnych, które nabywca zobowiązany jest spełnić na rzecz dewelopera w wykonaniu umowy przenoszącej własność","Wartość innych świadczeń pieniężnych, które nabywca zobowiązany jest spełnić na rzecz dewelopera w wykonaniu umowy przenoszącej własność [zł]","Adres strony internetowej, pod którym dostępny jest prospekt informacyjny","Wyszczególnienie rodzajów części nieruchomości oraz pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali, które znajdują się w ofercie dewelopera i są wymagane do zakupu","Wyszczególnienie rodzajów części nieruchomości oraz pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali, które znajdują się w ofercie dewelopera i są opcjonalne do zakupu",Grupa lokali przynależnych,Data od której obowiązuje oferta,Data do której obowiązuje oferta,_hash
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA005,25600,996608,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,f4841dcd19c51d720e242c76089d91c5acb218c0e0b10379da2c1c753365ce5b
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA043,25700,1115637,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,fce018ba313b095c97bf0a6f48dc51db21f5426183f51f4719e8492e3e519147
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA006,26400,712272,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,91b84e93c6c2725de9b16d3fe3c89d23baca091435a0ce7caa2490c50d35d51f
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA066,24000,1427520,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,34525f199762ae4c5c2b16235552b24aa5a7935b2bb8b2070240cbe7d16cbac4
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA034,26691.16,2470000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,dac32b5de5367389b067e3c2f4cb9f319b6fe9338d1e2e0b074c034ee84ddb69
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA067,26300,881050,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,ceba1b465a92ff696f2768d1a8467e016d1ec02ce73e454f118d6f9f103acd7e
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA069,26300,884995,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-10 22:41:24+02:00,2025-09-20 23:59:59+02:00,f8d1e424d9004dcf935bff36c9e64264f78ab5c49ef6411be001b55d667b466c
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA070,24000,1434480,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,059ebd069dce4e90c85ac6e4bf00d5bf338ad681a9e7a09e9532ca086ca02315
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA038,25300,1096249,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,5de64f2583c6f601b27920e27c7f071ea2ecd800292ab215f30353a91b9a465e
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA093,23700,1478169,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,c04e52e34da7785219defb1e10eca47fac45e5742db626e52628f58eb4b2898e
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA061,24100,1431781,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,77d07a02871b6c7786b1ce3de5d8a13f04d7be0ef3ef2eb7842791869a9283cc
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA094,26500,2136430,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,76931443a2b28c5cca11e01d33ee9562336ea8938374510a80a04e06796adb30
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA062,26500,887750,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,b45716773b477ec8bf522c945acf54e7362505b204540315fb88f7853b6011b7
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA063,27700,751224,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,c0979459a19a3fabc89c6afd47fd7972c0de53710f9c34085a965b1f4fa506de
GH Development 11 Sp. z o.o.,Spółka z ograniczoną odpowiedzialnością,957725,X,5272995442,521584897,"+48572634450, +48572836056",sprzedaz@aleken.pl,https://aleken.pl/,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,44,X,00-024,Mazowieckie,Warszawa,Warszawa,Warszawa,Al. Aleje Jerozolimskie,7,X,00-024,X,"Telefon, Email, Biuro sprzedaży, Strona www",Mazowieckie,Warszawa,Warszawa,Warszawa,ul. Indiry Gandhi,7,02-776,Lokal mieszkalny,MA064,26500,891725,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2025-09-08 00:00:00+02:00,2025-09-20 23:59:59+02:00,e02b1be40f07dfc62bd91b3c961ddc52db08e5a5d937ba34d0bd826c8c5aa710
